com,sp,A,W,E,N
sw,1,0.666666667,0.017948718,0.002564103,0.312820513
sw,2,0.680203046,0.02284264,0.007614213,0.289340102
sw,3,0.715,0.015,0,0.27
rf,1,0.5508,0.1331,0.0665,0.2496
rf,2,0.5791,0.1286,0.0643,0.228
rf,3,0.43395,0.19545,0.0977,0.2729
fl,1,0.4826,0.1317,0.0658,0.3199
fl,2,0.518,0.1773,0.0887,0.216
fl,3,0.43395,0.19545,0.0977,0.2729
br,1,0.666666667,0.017948718,0.002564103,0.312820513
br,2,0.462586387,0.019887635,0.084074976,0.433451002
br,3,0.715,0.015,0,0.27
db,1,0.666666667,0.017948718,0.002564103,0.312820513
db,2,0.462586387,0.019887635,0.084074976,0.433451002
db,3,0.715,0.015,0,0.27
rc,1,0.666666667,0.017948718,0.002564103,0.312820513
rc,2,0.462586387,0.019887635,0.084074976,0.433451002
rc,3,0.715,0.015,0,0.27
su,1,0.666666667,0.017948718,0.002564103,0.312820513
su,2,0.680203046,0.02284264,0.007614213,0.289340102
su,3,0.715,0.015,0,0.27
sb,1,0.5508,0.1331,0.0665,0.2496
sb,2,0.5791,0.1286,0.0643,0.228
sb,3,0.43395,0.19545,0.0977,0.2729
